epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5523,0.5534,51.7756,0.37148,0.00061,1,0.0065,0.003,2.23625,9.02286,1.91671,8e-05,8e-05,8e-05
2,29.2924,0.9507,29.0992,0.90064,0.00061,1,0.51423,0.15352,2.44453,9.27553,1.91568,0.000178218,0.000178218,0.000178218
3,47.9032,0.44055,38.6253,0.46864,0.00061,1,0.5253,0.26326,2.40067,8.57175,1.79448,0.000274456,0.000274456,0.000274456
4,62.5079,1.02908,42.9927,1.11487,0.00061,1,0.04422,0.0147,2.33126,8.33736,1.62111,0.000368714,0.000368714,0.000368714
5,77.3182,0.71082,37.7552,0.74097,0.00061,1,0.00616,0.00314,2.24634,9.7804,2.01657,0.000460992,0.000460992,0.000460992
6,91.4739,0.92175,28.6222,0.58669,0.00061,1,0.00599,0.00221,2.75986,8.92513,2.05253,0.00055129,0.00055129,0.00055129
7,106.32,1.81656,33.5479,1.37263,0.00061,1,0.00387,0.00121,2.59734,10.6149,2.52605,0.000639608,0.000639608,0.000639608
8,120.659,1.18101,37.7453,0.95349,0.00061,1,0.00392,0.00089,3.35799,11.4827,3.37834,0.000725946,0.000725946,0.000725946
9,136.068,1.49978,26.9872,1.0065,0.00061,1,0.00404,0.0018,3.01338,18.7658,3.09599,0.000810304,0.000810304,0.000810304
10,151.643,0.78997,31.2421,0.59285,0.00061,1,0.00466,0.00091,3.82318,10.6688,3.75822,0.000892682,0.000892682,0.000892682
11,166.958,1.61868,17.59,1.56698,0.00061,1,0.00879,0.00174,3.67747,10.3557,3.25023,0.00097308,0.00097308,0.00097308
12,181.744,0.39693,34.9625,0.39644,0.00061,1,0.00691,0.00244,3.02255,13.6806,2.90767,0.0010515,0.0010515,0.0010515
13,195.959,1.77763,23.9381,1.29673,0.00061,1,0.00396,0.00185,2.67754,12.4866,2.4866,0.00112794,0.00112794,0.00112794
14,210.143,1.37652,18.116,1.319,0.00061,1,0.00396,0.00185,2.67754,12.4866,2.4866,0.00120239,0.00120239,0.00120239
15,224.309,1.01224,21.872,0.99007,0.00061,1,0.00331,0.00198,2.52387,15.0937,2.16825,0.00127487,0.00127487,0.00127487
16,238.753,0,38.988,0,0.00061,1,0.00263,0.00159,2.48471,8.28499,2.11902,0.00134537,0.00134537,0.00134537
17,253.237,0.87842,26.5098,0.68893,0.00061,1,0.00795,0.00355,2.72251,10.0766,2.08062,0.00141389,0.00141389,0.00141389
18,267.672,1.33873,23.6648,1.11519,0.00061,1,0.00795,0.00355,2.72251,10.0766,2.08062,0.00148043,0.00148043,0.00148043
19,282.39,0.94724,21.405,0.8073,0.00061,1,0.00485,0.00191,3.12173,7.93415,2.62611,0.00154498,0.00154498,0.00154498
20,297.327,0.83979,19.3483,0.73718,0.00031,0.5,0.00112,0.0002,3.7412,6.35122,3.81892,0.00160756,0.00160756,0.00160756
21,312.309,0.52406,26.0932,0.40732,0.00031,0.5,0.00112,0.0002,3.7412,6.35122,3.81892,0.001604,0.001604,0.001604
22,328.184,1.45673,13.6082,1.31515,0.00035,0.5,0.0003,6e-05,3.56273,6.63297,3.65594,0.0015842,0.0015842,0.0015842
23,344.205,0.85752,19.9715,0.88228,0.00067,1,0.01089,0.00109,3.92299,6.94943,4.68641,0.0015644,0.0015644,0.0015644
